#	Visible?	Starred?	Identified Proteins (1461)	Accession Number	Alternate ID	Molecular Weight	Protein Grouping Ambiguity	Taxonomy	D676_AT (AT)	D676_CST (CST)	D676_IgG (IgG)	D676_Th (Th)
1	TRUE	Empty	"Cluster of Actin, cytoplasmic 1 OS=Homo sapiens GN=ACTB PE=1 SV=1 (P60709)"	P60709 [9]	ACTB	42 kDa	TRUE	unknown	575	671	538	601
1.1	TRUE	Empty	"    Actin, cytoplasmic 1 OS=Homo sapiens GN=ACTB PE=1 SV=1"	P60709	ACTB	42 kDa	TRUE	unknown	521	617	487	554
1.2	TRUE	Empty	"    Actin, cytoplasmic 2 OS=Homo sapiens GN=ACTG1 PE=1 SV=1"	P63261	ACTG1	42 kDa	TRUE	unknown	504	598	461	533
1.3	TRUE	Empty	"    Actin, alpha skeletal muscle OS=Homo sapiens GN=ACTA1 PE=1 SV=1"	P68133	ACTA1	42 kDa	TRUE	unknown	278	304	255	277
1.4	TRUE	Empty	"    Actin, aortic smooth muscle OS=Homo sapiens GN=ACTA2 PE=1 SV=1"	P62736	ACTA2	42 kDa	TRUE	unknown	228	253	213	227
1.5	TRUE	Empty	    POTE ankyrin domain family member E OS=Homo sapiens GN=POTEE PE=2 SV=3	Q6S8J3	POTEE	121 kDa	TRUE	unknown	0	0	0	0
1.6	TRUE	Empty	    Beta-actin-like protein 2 OS=Homo sapiens GN=ACTBL2 PE=1 SV=2	Q562R1	ACTBL2	42 kDa	TRUE	unknown	113	127	113	117
1.7	TRUE	Empty	    Putative beta-actin-like protein 3 OS=Homo sapiens GN=POTEKP PE=5 SV=1	Q9BYX7	POTEKP	42 kDa	TRUE	unknown	94	102	83	95
1.8	TRUE	Empty	    POTE ankyrin domain family member I OS=Homo sapiens GN=POTEI PE=3 SV=1	P0CG38	POTEI	121 kDa	TRUE	unknown	106	112	90	101
1.9	TRUE	Empty	    POTE ankyrin domain family member J OS=Homo sapiens GN=POTEJ PE=3 SV=1	P0CG39	POTEJ	117 kDa	TRUE	unknown	79	82	80	77
2	TRUE	Empty	"Cluster of Keratin, type I cytoskeletal 18 OS=Homo sapiens GN=KRT18 PE=1 SV=2 (P05783)"	P05783 [13]	KRT18	48 kDa	TRUE	unknown	370	411	336	433
2.1	TRUE	Empty	"    Keratin, type I cytoskeletal 18 OS=Homo sapiens GN=KRT18 PE=1 SV=2"	P05783	KRT18	48 kDa	TRUE	unknown	235	273	208	282
2.2	TRUE	Empty	"    Keratin, type I cytoskeletal 19 OS=Homo sapiens GN=KRT19 PE=1 SV=4"	P08727	KRT19	44 kDa	TRUE	unknown	119	133	121	142
2.3	TRUE	Empty	"    Keratin, type I cytoskeletal 13 OS=Homo sapiens GN=KRT13 PE=1 SV=4"	P13646	KRT13	50 kDa	TRUE	unknown	27	32	30	31
2.4	TRUE	Empty	"    Keratin, type I cytoskeletal 14 OS=Homo sapiens GN=KRT14 PE=1 SV=4"	P02533	KRT14	52 kDa	TRUE	unknown	0	0	0	0
2.5	TRUE	Empty	"    Keratin, type I cytoskeletal 10 OS=Homo sapiens GN=KRT10 PE=1 SV=6"	P13645	KRT10	59 kDa	TRUE	unknown	14	7	10	11
2.6	TRUE	Empty	"    Keratin, type I cytoskeletal 15 OS=Homo sapiens GN=KRT15 PE=1 SV=3"	P19012	KRT15	49 kDa	TRUE	unknown	11	8	9	10
2.7	TRUE	Empty	"    Keratin, type I cytoskeletal 16 OS=Homo sapiens GN=KRT16 PE=1 SV=4"	P08779	KRT16	51 kDa	TRUE	unknown	9	7	9	10
2.8	TRUE	Empty	"    Keratin, type I cytoskeletal 17 OS=Homo sapiens GN=KRT17 PE=1 SV=2"	Q04695	KRT17	48 kDa	TRUE	unknown	0	0	0	0
2.9	TRUE	Empty	"    Keratin, type I cuticular Ha5 OS=Homo sapiens GN=KRT35 PE=1 SV=5"	Q92764	KRT35	50 kDa	TRUE	unknown	0	0	0	0
2.1	TRUE	Empty	"    Keratin, type I cuticular Ha7 OS=Homo sapiens GN=KRT37 PE=1 SV=3"	O76014	KRT37	50 kDa	TRUE	unknown	0	0	0	2
2.11	TRUE	Empty	"    Keratin, type I cytoskeletal 24 OS=Homo sapiens GN=KRT24 PE=1 SV=1"	Q2M2I5	KRT24	55 kDa	TRUE	unknown	0	0	2	0
2.12	TRUE	Empty	"    Keratin, type I cuticular Ha2 OS=Homo sapiens GN=KRT32 PE=2 SV=3"	Q14532	KRT32	50 kDa	TRUE	unknown	0	0	0	0
2.13	TRUE	Empty	"    Keratin, type I cuticular Ha6 OS=Homo sapiens GN=KRT36 PE=1 SV=1"	O76013	KRT36	52 kDa	TRUE	unknown	0	0	0	0
3	TRUE	Empty	Cluster of Alpha-actinin-4 OS=Homo sapiens GN=ACTN4 PE=1 SV=2 (O43707)	O43707 [4]	ACTN4	105 kDa	TRUE	unknown	293	341	306	331
3.1	TRUE	Empty	    Alpha-actinin-4 OS=Homo sapiens GN=ACTN4 PE=1 SV=2	O43707	ACTN4	105 kDa	TRUE	unknown	200	239	207	231
3.2	TRUE	Empty	    Alpha-actinin-1 OS=Homo sapiens GN=ACTN1 PE=1 SV=2	P12814	ACTN1	103 kDa	TRUE	unknown	147	168	157	168
3.3	TRUE	Empty	    Alpha-actinin-2 OS=Homo sapiens GN=ACTN2 PE=1 SV=1	P35609	ACTN2	104 kDa	TRUE	unknown	40	50	45	47
3.4	TRUE	Empty	    Alpha-actinin-3 OS=Homo sapiens GN=ACTN3 PE=1 SV=2	Q08043	ACTN3	103 kDa	TRUE	unknown	0	35	0	0
4	TRUE	Empty	Cluster of Myosin-9 OS=Homo sapiens GN=MYH9 PE=1 SV=4 (P35579)	P35579 [3]	MYH9	227 kDa	TRUE	unknown	253	246	251	262
4.1	TRUE	Empty	    Myosin-9 OS=Homo sapiens GN=MYH9 PE=1 SV=4	P35579	MYH9	227 kDa	TRUE	unknown	171	162	160	173
